code|state_fips|county_fips|period|civilian|employed|unemployed|rate|county|state|state_code
CN483890|48|389|Apr-12|4797|4393|404|8.4|reeves|texas|TX
CN483910|48|391|Apr-12|4445|4242|203|4.6|refugio|texas|TX
CN483930|48|393|Apr-12|640|613|27|4.2|roberts|texas|TX
CN483950|48|395|Apr-12|7386|6845|541|7.3|robertson|texas|TX
CN483970|48|397|Apr-12|40404|38019|2385|5.9|rockwall|texas|TX
CN483990|48|399|Apr-12|4509|4239|270|6.0|runnels|texas|TX
CN484010|48|401|Apr-12|26608|25021|1587|6.0|rusk|texas|TX
CN484030|48|403|Apr-12|3335|2849|486|14.6|sabine|texas|TX
CN484050|48|405|Apr-12|3560|3194|366|10.3|san augustine|texas|TX
CN484070|48|407|Apr-12|11190|10354|836|7.5|san jacinto|texas|TX
PA480450|48|409|Apr-12|29876|27803|2073|6.9|san patricio|texas|TX
CN484110|48|411|Apr-12|2264|2104|160|7.1|san saba|texas|TX
CN484130|48|413|Apr-12|1665|1594|71|4.3|schleicher|texas|TX
CN484150|48|415|Apr-12|8507|8136|371|4.4|scurry|texas|TX
CN484170|48|417|Apr-12|2334|2257|77|3.3|shackelford|texas|TX
CN484190|48|419|Apr-12|12861|12052|809|6.3|shelby|texas|TX
CN484210|48|421|Apr-12|1481|1423|58|3.9|sherman|texas|TX
CN484230|48|423|Apr-12|105854|99119|6735|6.4|smith|texas|TX
CN484250|48|425|Apr-12|4527|4289|238|5.3|somervell|texas|TX
CN484270|48|427|Apr-12|25222|21529|3693|14.6|starr|texas|TX
CN484290|48|429|Apr-12|4762|4504|258|5.4|stephens|texas|TX
CN484310|48|431|Apr-12|751|728|23|3.1|sterling|texas|TX
CN484330|48|433|Apr-12|785|753|32|4.1|stonewall|texas|TX
CN484350|48|435|Apr-12|2894|2801|93|3.2|sutton|texas|TX
CN484370|48|437|Apr-12|3615|3419|196|5.4|swisher|texas|TX
CN484390|48|439|Apr-12|937335|877376|59959|6.4|tarrant|texas|TX
CN484410|48|441|Apr-12|68014|64486|3528|5.2|taylor|texas|TX
CN484430|48|443|Apr-12|415|390|25|6.0|terrell|texas|TX
CN484450|48|445|Apr-12|6062|5681|381|6.3|terry|texas|TX
CN484470|48|447|Apr-12|1024|979|45|4.4|throckmorton|texas|TX
CN484490|48|449|Apr-12|13871|12972|899|6.5|titus|texas|TX
CN484510|48|451|Apr-12|56080|53279|2801|5.0|tom green|texas|TX
CN484530|48|453|Apr-12|586515|554840|31675|5.4|travis|texas|TX
CN484550|48|455|Apr-12|5765|5319|446|7.7|trinity|texas|TX
CN484570|48|457|Apr-12|8338|7554|784|9.4|tyler|texas|TX
CN484590|48|459|Apr-12|20478|19345|1133|5.5|upshur|texas|TX
CN484610|48|461|Apr-12|1964|1900|64|3.3|upton|texas|TX
CN484630|48|463|Apr-12|12167|11264|903|7.4|uvalde|texas|TX
CN484650|48|465|Apr-12|20665|19137|1528|7.4|val verde|texas|TX
CN484670|48|467|Apr-12|25995|24413|1582|6.1|van zandt|texas|TX
PA481400|48|469|Apr-12|46280|43906|2374|5.1|victoria|texas|TX
CN484710|48|471|Apr-12|27866|26106|1760|6.3|walker|texas|TX
CN484730|48|473|Apr-12|20236|18957|1279|6.3|waller|texas|TX
CN484750|48|475|Apr-12|5368|5122|246|4.6|ward|texas|TX
CN484770|48|477|Apr-12|17499|16659|840|4.8|washington|texas|TX
PS480870|48|479|Apr-12|102614|95887|6727|6.6|webb|texas|TX
CN484810|48|481|Apr-12|21471|20048|1423|6.6|wharton|texas|TX
CN484830|48|483|Apr-12|3558|3442|116|3.3|wheeler|texas|TX
