"country","age","sex","height","weight","hungry","fruit","vegetables","teeth","hands_eating","hands_toilet","hands_soap","sample_weight","bmi"
"aeh","16+","Female",1.5,43,"Never","5+","5+","4+","Always","Always","Always",33.8773,19.1111111111111
"aeh","16+","Female",1.6,60,"Never","1","1","2","Always","Always","Always",33.8773,23.4375
"aeh","16+","Female",1.66,69,"Rarely","0","0","3","Always","Always","Always",33.8773,25.0399187109885
"aeh","16+","Female",1.61,71,"Never","0","0","1","Always","Always","Most of the time",38.0695,27.3909185602407
"aeh","16+","Female",1.66,53,"Rarely","<1","<1","1","Always","Always","Most of the time",38.0695,19.2335607490202
"aeh","15","Female",1.53,45,"Rarely","<1","0","3","Always","Always","Always",38.0695,19.2233756247597
"aeh","15","Female",1.54,61,"Never","<1","5+","1","Always","Always","Always",38.0695,25.7210322145387
"aeh","15","Female",1.52,47,"Never","<1","<1","<1","Always","Always","Always",38.0695,20.3427977839335
"aeh","15","Female",1.6,44,"Never","<1","<1","1","Sometimes","Sometimes","Sometimes",38.0695,17.1875
"aeh","15","Female",1.65,49,"Most of the time","<1","<1","1","Always","Always","Always",38.0695,17.9981634527089
"aeh","15","Female",1.55,76,"Never","<1","<1","3","Always","Always","Always",32.9263,31.633714880333
"aeh","15","Female",1.59,74,"Never","1","2","2","Always","Always","Always",38.0695,29.270994027135
"aeh","16+","Female",1.6,92,"Rarely","<1","<1","2","Always","Always","Always",38.0695,35.9375
"aeh","15","Female",1.66,53,"Rarely","<1","<1","4+","Most of the time","Always","Always",38.0695,19.2335607490202
"aeh","15","Female",1.51,74,"Never","<1","<1","1","Most of the time","Always","Always",38.0695,32.4547168983816
"aeh","16+","Female",1.59,50,"Rarely","5+","5+","2","Always","Always","Always",38.0695,19.7776986669831
"aeh","15","Female",1.62,96,"Never","<1","<1","1","Always","Always","Always",38.0695,36.5797896662094
"aeh","16+","Female",1.67,65,"Sometimes","<1","<1","2","Sometimes","Always","Always",38.0695,23.3066800530675
"aeh","16+","Female",1.53,45,"Never","<1","2","2","Always","Always","Always",38.0695,19.2233756247597
"aeh","16+","Female",1.7,61,"Never","<1","<1","1","Most of the time","Always","Most of the time",38.0695,21.1072664359862
"aeh","16+","Female",1.57,63,"Rarely","<1","1","2","Most of the time","Always","Always",38.0695,25.5588462006572
"aeh","14","Female",1.55,46,"Never","<1","<1","1","Most of the time","Always","Always",38.0695,19.1467221644121
"aeh","16+","Female",1.64,57,"Never","1","1","1","Always","Always","Always",38.0695,21.1927424152290
"aeh","15","Female",1.48,44,"Sometimes","<1","0","1","Always","Always","Always",38.0695,20.0876552227904
"aeh","15","Female",1.69,55,"Never","1","2","2","Always","Always","Always",38.0695,19.2570288155177
"aeh","16+","Female",1.64,43,"Rarely","<1","<1","2","Always","Always","Always",38.0695,15.9875074360500
"aeh","14","Female",1.74,71,"Sometimes","<1","2","1","Always","Sometimes","Most of the time",27.0466,23.4509182190514
"aeh","15","Female",1.57,43,"Rarely","0","0","<1","Always","Always","Most of the time",27.0466,17.4449267718772
"aeh","14","Female",1.59,72,"Rarely","<1","<1","1","Always","Always","Most of the time",27.0466,28.4798860804557
"aeh","15","Female",1.61,63,"Never","1","0","<1","Most of the time","Always","Always",27.0466,24.3046178773967
"aeh","15","Female",1.65,88,"Never","1","<1","3","Sometimes","Always","Always",27.0466,32.3232323232323
"aeh","15","Female",1.61,55,"Never","2","<1","1","Rarely","Always","Most of the time",27.0466,21.2183171945527
"aeh","14","Female",1.5,51,"Sometimes","<1","1","4+","Always","Always","Always",27.0466,22.6666666666667
"aeh","14","Female",1.56,69,"Never","<1","<1","1","Most of the time","Always","Most of the time",27.0466,28.3530571992110
"aeh","15","Female",1.55,55,"Sometimes","<1","<1","<1","Always","Always","Sometimes",27.0466,22.8928199791883
"aeh","15","Female",1.68,95,"Never","<1","<1","<1","Always","Always","Always",27.0466,33.6592970521542
"aeh","15","Female",1.53,51,"Never","<1","<1","2","Sometimes","Always","Always",27.0466,21.7864923747277
"aeh","15","Female",1.6,56,"Always","<1","<1","<1","Always","Always","Always",27.0466,21.875
"aeh","15","Female",1.53,55,"Sometimes","<1","2","2","Most of the time","Rarely","Always",27.0466,23.4952368747063
"aeh","15","Female",1.35,64,"Most of the time","0","5+","2","Always","Always","Always",27.0466,35.1165980795610
"aeh","15","Female",1.58,52,"Never","1","1","2","Most of the time","Always","Always",27.0466,20.8299951930780
"aeh","15","Female",1.73,99,"Rarely","<1","<1","3","Rarely","Most of the time","Always",27.0466,33.0782852751512
"aeh","15","Female",1.62,73,"Sometimes","<1","1","<1","Most of the time","Always","Always",27.0466,27.8158817253467
"aeh","14","Female",1.59,68,"Sometimes","<1","<1","1","Sometimes","Always","Rarely",27.0466,26.8976701870970
"aeh","15","Female",1.56,40,"Never","<1","5+","<1","Sometimes","Rarely","Sometimes",27.0466,16.4365548980934
"aeh","16+","Female",1.55,57,"Never","1","0","2","Most of the time","Always","Always",31.2713,23.7252861602497
"aeh","15","Female",1.52,37,"Never","1","1","1","Sometimes","Always","Sometimes",31.2713,16.0145429362881
"aeh","15","Female",1.66,53,"Never","<1","<1","2","Most of the time","Always","Most of the time",31.2713,19.2335607490202
"aeh","16+","Female",1.67,68,"Sometimes","<1","<1","<1","Sometimes","Sometimes","Rarely",31.2713,24.3823729785937
"aeh","16+","Female",1.62,63,"Sometimes","<1","<1","<1","Never","Always","Sometimes",27.0466,24.0054869684499
"aeh","16+","Female",1.44,53,"Sometimes","<1","<1","<1","Most of the time","Always","Sometimes",31.2713,25.5594135802469
"aeh","16+","Female",1.6,45,"Never","<1","3","2","Always","Always","Most of the time",31.2713,17.578125
"aeh","16+","Female",1.56,62,"Always","<1","1","2","Always",NA,"Most of the time",31.2713,25.4766600920447
"aeh","16+","Male",1.68,52,"Never","1","1","4+","Always","Always","Most of the time",28.5906,18.4240362811791
"aeh","16+","Female",1.55,57,"Most of the time","3","0","<1",NA,"Most of the time","Always",31.2713,23.7252861602497
"aeh","16+","Female",1.54,49,"Rarely","1","1","2","Always","Always","Most of the time",27.0466,20.6611570247934
"aeh","16+","Female",1.53,46,"Never","1","1","2","Always","Always","Always",31.2713,19.6505617497544
"aeh","16+","Female",1.6,52,"Never","<1","0","1","Most of the time","Always","Always",31.2713,20.3125
"aeh","16+","Female",1.59,57,"Never","<1","<1","<1","Always","Always","Sometimes",31.2713,22.5465764803607
"aeh","16+","Male",1.49,46,"Never","<1","1","1","Rarely","Always","Always",28.5906,20.7197873969641
"aeh","16+","Male",1.47,56,"Rarely","2","3","1","Always","Always","Always",28.5906,25.9151279559443
"aeh","16+","Male",1.55,50,"Never","<1","1","2","Always","Always","Always",28.5906,20.8116545265349
"aeh","16+","Female",1.72,103,"Sometimes","<1","1","<1","Always","Most of the time","Rarely",31.2713,34.8161168199027
"aeh","16+","Male",1.63,60,"Rarely","1","3","3","Always","Always","Most of the time",28.5906,22.5827091723437
"aeh","15","Female",1.54,40,"Rarely","<1","<1","0","Most of the time","Most of the time","Most of the time",31.2713,16.8662506324844
"aeh","16+","Female",1.61,102,"Never","<1","5+","2","Most of the time","Always","Rarely",31.2713,39.3503337062613
"aeh","16+","Female",1.54,45,"Sometimes","<1",NA,"<1",NA,"Always",NA,31.2713,18.9745319615449
"aeh","16+","Female",1.57,46,"Never","<1","<1","1","Always","Always","Always",31.2713,18.6620146861942
"aeh",NA,"Female",NA,NA,"Rarely","0","<1","1","Never","Never","Rarely",16.4845,NA
"aeh","16+","Female",1.6,118,"Never","<1","<1","<1","Sometimes","Always","Sometimes",31.2713,46.09375
"aeh","15","Female",1.64,48,"Never","<1","1","<1","Always","Always","Always",33.3561,17.8465199286139
"aeh","16+","Female",1.57,81,"Never","<1","1","1","Rarely","Most of the time","Always",33.3561,32.8613736865593
"aeh","16+","Female",1.55,49,"Never","0","<1","1","Sometimes","Always","Sometimes",33.3561,20.3954214360042
"aeh","16+","Female",1.53,87,"Sometimes","<1","1","1","Most of the time","Sometimes","Rarely",33.3561,37.1651928745354
"aeh","16+",NA,NA,NA,"Never","<1","<1","1","Most of the time","Always","Always",30.4967,NA
"aeh","16+","Female",1.61,54,"Sometimes","<1","<1","1","Most of the time","Always","Never",33.3561,20.8325296091972
"aeh","16+","Female",1.6,51,"Most of the time","<1","<1","1","Always","Rarely","Most of the time",33.3561,19.921875
"aeh","16+","Female",1.63,49,"Never","<1","5+","1","Always","Always","Most of the time",28.8497,18.4425458240807
"aeh",NA,"Female",NA,NA,"Always","0","<1","1","Sometimes","Always","Always",17.5835,NA
"aeh","16+","Female",1.65,53,"Most of the time","2","1","0","Always","Always","Most of the time",33.3561,19.4674012855831
"aeh","15","Female",1.57,53,"Never","<1","<1","<1","Most of the time","Always","Most of the time",33.3561,21.5018864862672
"aeh","15","Female",1.56,60,"Never","1","<1","1","Always","Always","Always",33.3561,24.6548323471400
"aeh","16+","Female",1.58,37,"Rarely","<1","<1","2","Most of the time","Most of the time","Most of the time",33.3561,14.8213427335363
"aeh","15","Female",1.59,65,"Rarely","<1","1","1","Most of the time","Always","Always",33.3561,25.7110082670780
"aeh","15","Female",1.63,69,"Sometimes","<1","1","2","Always","Always","Most of the time",33.3561,25.9701155481953
"aeh","15","Female",1.56,44,"Sometimes","<1","1","<1","Most of the time","Always","Always",33.3561,18.0802103879027
"aeh","15","Female",1.48,47,"Never","<1","1","1","Always","Most of the time","Always",33.3561,21.4572680788897
"aeh","14","Female",1.57,50,"Never","<1","4","4+","Most of the time","Always","Always",33.3561,20.2847985719502
"aeh","16+","Female",1.58,50,"Never","<1","1","1","Always","Always","Always",33.3561,20.0288415318058
"aeh","15","Female",1.56,40,"Never","<1","<1","1","Always","Always","Always",33.3561,16.4365548980934
"aeh","15","Female",1.6,49,"Rarely","<1","5+","1","Most of the time","Always","Always",33.3561,19.140625
"aeh","15","Female",1.46,40,"Never","<1","2","2","Always","Always","Always",33.3561,18.7652467629949
"aeh",NA,"Female",NA,NA,"Most of the time","<1","1","1","Always","Sometimes","Always",33.3561,NA
"aeh","15","Female",1.54,72,"Never","2","<1","<1","Always","Always","Most of the time",33.3561,30.3592511384719
"aeh","15","Female",1.53,36,"Never","1","<1","1","Always","Always","Always",33.3561,15.3787004998078
"aeh","15","Female",1.57,76,"Never","1","2","1","Most of the time","Always","Always",33.3561,30.8328938293643
"aeh","15","Female",1.58,73,"Never","<1","<1","<1","Most of the time","Always","Always",33.3561,29.2421086364365
"aeh","15","Female",1.51,43,"Never","1","1","<1","Always","Most of the time","Always",33.3561,18.8588219814920
